Elspot prices in SEK/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2018,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
17 - Jan,293.1,301.61,301.61,303.69,323.25,316.65,294.82,319.05,297.63,287.83,284.41,286.98,286.98,247.46,316.4,334.21,350.77,
17 - Feb,305.82,313.23,313.23,313.58,323.92,332.25,282.84,308.88,301.59,300.11,297.8,310.51,310.51,263.87,332.82,343.53,345.34,
17 - Mar,289.8,289.75,289.75,289.75,291.62,292.44,278.56,283.68,295.11,294.6,294.61,297.11,297.11,232.03,292.24,292.22,298.09,
17 - Apr,280.34,276.9,276.9,276.9,280.93,301.16,262.11,277.12,286.42,282.14,286.46,285.53,285.53,232.99,298.98,301.28,301.36,
17 - May,276.03,286.72,286.72,286.96,288.13,297.56,283.69,287.3,271.82,271.46,271.16,286.57,286.57,249.05,297.38,314.97,314.97,
17 - Jun,240.2,263.88,263.88,263.88,273.35,299.01,274.54,283.4,229.52,229.57,228.14,241.84,241.84,226.31,299.15,374.37,374.37,
17 - Jul,252.93,294.4,294.4,295.85,296.3,327.9,302.89,306.46,251.09,251.09,250.78,239.94,239.94,188.16,329.44,348.01,348.01,
17 - Aug,263.44,318.13,318.13,321.14,323.87,346.54,312.73,327.56,256.03,254.91,254.63,264.46,264.46,198.24,347.08,356.5,356.22,
17 - Sep,301,332.98,332.98,347.36,351.86,355.16,321.76,366.79,287.49,286.84,286.84,314.94,314.94,264.28,355.16,359.19,360.13,
17 - Oct,275.13,277.78,277.78,293.71,309.23,320.92,263.54,304.23,265.25,260.69,265.23,275.11,275.11,271.5,321.03,323.57,329.78,
17 - Nov,317.77,314.69,314.69,314.69,340.61,331.45,324.9,341.29,308.43,307.97,307.79,314.68,314.68,313.59,331.78,343.27,356.36,
17 - Dec,307.34,296.51,296.51,304.47,318.54,317.32,275.6,290.1,308.87,308.86,308.87,299.66,299.66,293.33,318.27,320.73,328.69,
